Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.01576	leaf-2	0	0	LastDelay	0.00576	5760	1	2
0.01576	leaf-2	0	0	FullDelay	0.00576	5760	1	2
0.02576	leaf-3	0	0	LastDelay	0.00576	5760	1	2
0.02576	leaf-3	0	0	FullDelay	0.00576	5760	1	2
0.03288	leaf-4	0	0	LastDelay	0.00288	2880	1	2
0.03288	leaf-4	0	0	FullDelay	0.00288	2880	1	2
0.10576	leaf-1	0	1	LastDelay	0.00576	5760	1	2
0.10576	leaf-1	0	1	FullDelay	0.00576	5760	1	2
0.11288	leaf-2	0	1	LastDelay	0.00288	2880	1	2
0.11288	leaf-2	0	1	FullDelay	0.00288	2880	1	2
0.12576	leaf-3	0	1	LastDelay	0.00576	5760	1	2
0.12576	leaf-3	0	1	FullDelay	0.00576	5760	1	2
0.13288	leaf-4	0	1	LastDelay	0.00288	2880	1	2
0.13288	leaf-4	0	1	FullDelay	0.00288	2880	1	2
0.20576	leaf-1	0	2	LastDelay	0.00576	5760	1	2
0.20576	leaf-1	0	2	FullDelay	0.00576	5760	1	2
0.21288	leaf-2	0	2	LastDelay	0.00288	2880	1	2
0.21288	leaf-2	0	2	FullDelay	0.00288	2880	1	2
0.22576	leaf-3	0	2	LastDelay	0.00576	5760	1	2
0.22576	leaf-3	0	2	FullDelay	0.00576	5760	1	2
0.23288	leaf-4	0	2	LastDelay	0.00288	2880	1	2
0.23288	leaf-4	0	2	FullDelay	0.00288	2880	1	2
0.30288	leaf-1	0	0	LastDelay	0.00288	2880	1	2
0.30288	leaf-1	0	0	FullDelay	0.30288	302880	2	2
0.31576	leaf-2	0	3	LastDelay	0.00576	5760	1	2
0.31576	leaf-2	0	3	FullDelay	0.00576	5760	1	2
0.32576	leaf-3	0	3	LastDelay	0.00576	5760	1	2
0.32576	leaf-3	0	3	FullDelay	0.00576	5760	1	2
0.33288	leaf-4	0	3	LastDelay	0.00288	2880	1	2
0.33288	leaf-4	0	3	FullDelay	0.00288	2880	1	2
0.40288	leaf-1	0	3	LastDelay	0.00288	2880	1	2
0.40288	leaf-1	0	3	FullDelay	0.00288	2880	1	2
0.41576	leaf-2	0	4	LastDelay	0.00576	5760	1	2
0.41576	leaf-2	0	4	FullDelay	0.00576	5760	1	2
0.42576	leaf-3	0	4	LastDelay	0.00576	5760	1	2
0.42576	leaf-3	0	4	FullDelay	0.00576	5760	1	2
0.43288	leaf-4	0	4	LastDelay	0.00288	2880	1	2
0.43288	leaf-4	0	4	FullDelay	0.00288	2880	1	2
0.50288	leaf-1	0	4	LastDelay	0.00288	2880	1	2
0.50288	leaf-1	0	4	FullDelay	0.00288	2880	1	2
0.51576	leaf-2	0	5	LastDelay	0.00576	5760	1	2
0.51576	leaf-2	0	5	FullDelay	0.00576	5760	1	2
0.52576	leaf-3	0	5	LastDelay	0.00576	5760	1	2
0.52576	leaf-3	0	5	FullDelay	0.00576	5760	1	2
0.53288	leaf-4	0	5	LastDelay	0.00288	2880	1	2
0.53288	leaf-4	0	5	FullDelay	0.00288	2880	1	2
0.60288	leaf-1	0	5	LastDelay	0.00288	2880	1	2
0.60288	leaf-1	0	5	FullDelay	0.00288	2880	1	2
0.61576	leaf-2	0	6	LastDelay	0.00576	5760	1	2
0.61576	leaf-2	0	6	FullDelay	0.00576	5760	1	2
0.62576	leaf-3	0	6	LastDelay	0.00576	5760	1	2
0.62576	leaf-3	0	6	FullDelay	0.00576	5760	1	2
0.63288	leaf-4	0	6	LastDelay	0.00288	2880	1	2
0.63288	leaf-4	0	6	FullDelay	0.00288	2880	1	2
0.70288	leaf-1	0	6	LastDelay	0.00288	2880	1	2
0.70288	leaf-1	0	6	FullDelay	0.00288	2880	1	2
0.71576	leaf-2	0	7	LastDelay	0.00576	5760	1	2
0.71576	leaf-2	0	7	FullDelay	0.00576	5760	1	2
0.72576	leaf-3	0	7	LastDelay	0.00576	5760	1	2
0.72576	leaf-3	0	7	FullDelay	0.00576	5760	1	2
0.73288	leaf-4	0	7	LastDelay	0.00288	2880	1	2
0.73288	leaf-4	0	7	FullDelay	0.00288	2880	1	2
0.80288	leaf-1	0	7	LastDelay	0.00288	2880	1	2
0.80288	leaf-1	0	7	FullDelay	0.00288	2880	1	2
0.81576	leaf-2	0	8	LastDelay	0.00576	5760	1	2
0.81576	leaf-2	0	8	FullDelay	0.00576	5760	1	2
0.82576	leaf-3	0	8	LastDelay	0.00576	5760	1	2
0.82576	leaf-3	0	8	FullDelay	0.00576	5760	1	2
0.83288	leaf-4	0	8	LastDelay	0.00288	2880	1	2
0.83288	leaf-4	0	8	FullDelay	0.00288	2880	1	2
0.90288	leaf-1	0	8	LastDelay	0.00288	2880	1	2
0.90288	leaf-1	0	8	FullDelay	0.00288	2880	1	2
0.91576	leaf-2	0	9	LastDelay	0.00576	5760	1	2
0.91576	leaf-2	0	9	FullDelay	0.00576	5760	1	2
0.92576	leaf-3	0	9	LastDelay	0.00576	5760	1	2
0.92576	leaf-3	0	9	FullDelay	0.00576	5760	1	2
0.93288	leaf-4	0	9	LastDelay	0.00288	2880	1	2
